site,plot,plant_date,block,pd,rate,seedlings,canopy_ratio,weed1,weed2,weed3,rye_g,rye_bio,weed_g,weed_bio,sp1,sp2,sp3
vt,229,oct20,2,3,60,13,0.0116,STEME,,,68.21,2728.481928,2.68,107.2,STEME,CHEAL,bindweed
vt,230,oct20,2,3,0,9,0.004,TAROF,,,0,0,24.33,973.2,AGRRE,TAROF,CHEAL
vt,301,sep20,3,1,120,89,0.4517,brassica,,,213.64,8545.660752,4.73,189.2,TAROF,MELAL,
vt,302,sep20,3,1,60,58,0.3531,,,,149.86,5994.41164,0,0,TRFPR,,
vt,303,sep20,3,1,90,53,0.2837,,,,135.61,5424.373316,0.81,32.4,TRFPR,,
vt,304,sep20,3,1,0,0,0.0341,PLALA,STEME,brassica,0,0,60.52,2420.8,soapwort,TAROF,
vt,305,sep20,3,1,15,23,0.2905,PLALA,,,146.09,5843.711852,5.8,232,MELAL,,
vt,306,sep20,3,1,30,24,0.4,STEME,,,9.46,378.3056068,6.31,252.4,STEME,TAROF,
vt,313,oct7,3,2,90,44,0.2639,,,,96.64,3865.582654,0.12,4.8,,,
vt,314,oct7,3,2,120,80,0.48,,,,157.75,6310.006868,1.1,44,TRFPR,,
vt,315,oct7,3,2,15,9,0.1047,,,,126.54,5061.638472,0,0,TRFPR,bindweed,
vt,316,oct7,3,2,0,0,0.0001,TRFPR,,,0,0,2.13,85.2,TAROF,TRFPR,
vt,317,oct7,3,2,30,16,0.1621,,,,90.4,3615.908974,0,0,CERVU,,
vt,318,oct7,3,2,60,34,0.2233,,,,108.39,4335.603264,0.32,12.8,bindweed,,
vt,325,oct20,3,3,0,0,0.0003,TRFPR,,,0,0,16.13,645.2,TRFRE,CAPBP,STEME
vt,326,oct20,3,3,15,2,0.0019,,,,19.41,776.3886852,5.43,217.2,STEME,TAROF,CHEAL
vt,327,oct20,3,3,60,35,0.0512,STEME,PLALA,,127.34,5093.660556,5.74,229.6,STEME,bindweed,
vt,328,oct20,3,3,90,47,0.0578,STEME,,,128,5120.140388,2.24,89.6,bindweed,STEME,CHEAL
vt,329,oct20,3,3,30,4,0.0074,STEME,,,55.82,2232.779466,17.83,713.2,STEME,CERVU,CHEAL
vt,330,oct20,3,3,120,47,0.0743,STEME,,,135.42,5416.714512,1.83,73.2,STEME,CHEAL,
vt,401,sep20,4,1,15,19,0.3243,STEME,CERVU,,213.85,8553.85096,11.79,471.6,STEME,TAROF,
vt,402,sep20,4,1,30,29,0.4228,STEME,,,180.1,7204.10504,1.61,64.4,STEME,mustard,
vt,403,sep20,4,1,90,61,0.4491,,,,185.53,7421.145492,0.95,38,TRFPR,TAROF,STEME
vt,404,sep20,4,1,120,63,0.5912,STEME,,,234.77,9390.889992,2.22,88.8,,,
vt,405,sep20,4,1,0,0,0.0213,brassica,,,0,0,35.37,1414.8,soapwort,TAROF,TRFPR
vt,406,sep20,4,1,60,50,0.4858,,,,243.23,9729.145492,0,0,,,
vt,413,oct7,4,2,60,31,0.2697,PLALA,,,86.71,3468.48261,0.4,16,PLAMA,bindweed,
vt,414,oct7,4,2,120,67,0.3871,,,,146.02,5840.778876,0,0,,,
vt,415,oct7,4,2,30,22,0.1575,,,,122.42,4896.77458,0.69,27.6,STEME,TRFPR,
vt,416,oct7,4,2,90,47,0.2744,,,,105.42,4216.711036,0.76,30.4,TRFPR,,
vt,417,oct7,4,2,15,9,0.0724,TAROF,,,95.39,3815.647918,0,0,TRFPR,bindweed,CHEAL
vt,418,oct7,4,2,0,0,0.0001,,,,0,0,1.03,41.2,CAPBP,PLAMA,CIRVU
vt,425,oct20,4,3,30,2,0.0029,,,,43.24,1729.662651,8.21,328.4,STEME,TAROF,bindweed
vt,426,oct20,4,3,120,28,0.0366,STEME,,,97.58,3903.127292,2.29,91.6,TRFPR,STEME,CHEAL
vt,427,oct20,4,3,60,25,0.0339,STEME,,,105.34,4213.470928,12.48,499.2,STEME,MELAL,
vt,428,oct20,4,3,0,0,0.0002,,,,0,0,1.89,75.6,STEME,PLAMA,bindweed
vt,429,oct20,4,3,90,40,0.0515,STEME,,,121.65,4865.933996,0.82,32.8,CHEAL,STEME,TRFPR
vt,430,oct20,4,3,15,4,0.0066,STEME,,,51.5,2060.130959,12.88,515.2,STEME,CHEAL,PLAMA
de,101,oct13,1,1,60,37,0.2404,Whitlowgrass,Henbit,Common chickweed,98.4,3936,na,na,na,na,na
de,102,oct13,1,1,120,40,0.2001,Whitlowgrass,Henbit,Jagged chickweed,55.6,2224,na,na,na,na,na
de,103,oct13,1,1,90,53,0.2433,Whitlowgrass,Henbit,Jagged chickweed,79.4,3176,na,na,na,na,na
de,104,oct13,1,1,30,12,0.1755,Whitlowgrass,Henbit,Jagged chickweed,62.6,2504,na,na,na,na,na
de,105,oct13,1,1,10,12,0.1998,Whitlowgrass,Henbit,Mouseear chickweed,51.8,2072,na,na,na,na,na
de,106,oct13,1,1,0,0,0.03,Whitlowgrass,Henbit,Common chickweed,0,0,na,na,na,na,na
de,108,nov17,1,3,0,0,0.0528,Whitlowgrass,Henbit,Jagged chickweed,0,0,na,na,na,na,na
de,109,nov17,1,3,30,23,0.2193,Whitlowgrass,Henbit,Annual bluegrass,72,2880,na,na,na,na,na
de,110,nov17,1,3,60,40,0.1938,Whitlowgrass,Henbit,Cutleaf evening primrose,50,2000,na,na,na,na,na
de,111,nov17,1,3,120,87,0.2206,Whitlowgrass,Henbit,Jagged chickweed,65.6,2624,na,na,na,na,na
de,112,nov17,1,3,10,5,0.1234,Whitlowgrass,Henbit,Purslane speedwell,50.2,2008,na,na,na,na,na
de,113,nov17,1,3,90,70,0.2648,Whitlowgrass,Henbit,Common chickweed,76.4,3056,na,na,na,na,na
de,114,nov17,1,3,150,70,0.2223,Whitlowgrass,Henbit,Common chickweed,63.2,2528,na,na,na,na,na
de,115,nov2,1,2,90,45,0.1863,Whitlowgrass,Henbit,Annual bluegrass,64.2,2568,na,na,na,na,na
de,116,nov2,1,2,0,0,0.0405,Whitlowgrass,Henbit,Cutleaf evening primrose,0,0,na,na,na,na,na
de,117,nov2,1,2,150,81,0.2159,Whitlowgrass,Henbit,Jagged chickweed,64,2560,na,na,na,na,na
de,118,nov2,1,2,60,40,0.2863,Whitlowgrass,Henbit,Jagged chickweed,104,4160,na,na,na,na,na
de,119,nov2,1,2,120,98,0.1974,Whitlowgrass,no other,no other,70.6,2824,na,na,na,na,na
de,120,nov2,1,2,30,30,0.2641,Whitlowgrass,Henbit,Purslane speedwell,87,3480,na,na,na,na,na
de,121,nov2,1,2,10,4,0.1686,Whitlowgrass,Henbit,no other,61.2,2448,na,na,na,na,na
de,201,nov2,2,2,120,61,0.1533,Whitlowgrass,Henbit,no other,51.4,2056,na,na,na,na,na
de,202,nov2,2,2,10,10,0.1634,Whitlowgrass,Henbit,Jagged chickweed,67,2680,na,na,na,na,na
de,203,nov2,2,2,0,0,0.0415,Whitlowgrass,Henbit,Jagged chickweed,0,0,na,na,na,na,na
de,204,nov2,2,2,30,22,0.1659,Whitlowgrass,Henbit,Jagged chickweed,44.4,1776,na,na,na,na,na
de,205,nov2,2,2,90,73,0.1852,Whitlowgrass,Henbit,no other,71.6,2864,na,na,na,na,na
de,206,nov2,2,2,60,31,0.1624,Whitlowgrass,Henbit,Annual bluegrass,49,1960,na,na,na,na,na
de,207,nov2,2,2,150,81,0.27,Whitlowgrass,Henbit,no other,97,3880,na,na,na,na,na
de,208,nov17,2,3,150,110,0.2229,Whitlowgrass,Henbit,Common chickweed,42.8,1712,na,na,na,na,na
de,209,nov17,2,3,120,75,0.3171,Whitlowgrass,Henbit,Mouseear chickweed,60.2,2408,na,na,na,na,na
de,210,nov17,2,3,0,0,0.0389,Whitlowgrass,Henbit,Jagged chickweed,0,0,na,na,na,na,na
de,211,nov17,2,3,60,56,0.1663,Whitlowgrass,Henbit,Annual bluegrass,28.4,1136,na,na,na,na,na
de,212,nov17,2,3,90,52,0.2113,Whitlowgrass,Whitlowgrass,Annual bluegrass,39.8,1592,na,na,na,na,na
de,213,nov17,2,3,30,19,0.1835,Henbit,Whitlowgrass,Common chickweed,47.6,1904,na,na,na,na,na
de,214,nov17,2,3,10,9,0.2085,Henbit,Henbit,Dandelion,35.8,1432,na,na,na,na,na
de,215,oct13,2,1,0,0,0.0386,Whitlowgrass,Henbit,Annual bluegrass,0,0,na,na,na,na,na
de,216,oct13,2,1,30,15,0.2187,Whitlowgrass,Henbit,Cutleaf evening primrose,78,3120,na,na,na,na,na
de,217,oct13,2,1,10,17,0.1593,Whitlowgrass,Henbit,Jagged chickweed,52,2080,na,na,na,na,na
de,218,oct13,2,1,90,42,0.1868,Whitlowgrass,Henbit,Common chickweed,84.4,3376,na,na,na,na,na
de,219,oct13,2,1,60,43,0.2975,Whitlowgrass,Henbit,Common chickweed,94,3760,na,na,na,na,na
de,220,oct13,2,1,120,38,0.2579,Whitlowgrass,Henbit,Common chickweed,91,3640,na,na,na,na,na
de,301,nov2,3,2,150,111,0.1955,Whitlowgrass,Henbit,Mouseear chickweed,48.8,1952,na,na,na,na,na
de,302,nov2,3,2,30,24,0.2449,Whitlowgrass,Henbit,Mouseear chickweed,68.6,2744,na,na,na,na,na
de,303,nov2,3,2,120,68,0.1819,Whitlowgrass,Henbit,Common chickweed,51.6,2064,na,na,na,na,na
de,304,nov2,3,2,0,0,0.0357,Whitlowgrass,Henbit,no other,0,0,na,na,na,na,na
de,305,nov2,3,2,90,48,0.3886,Whitlowgrass,Henbit,no other,121.4,4856,na,na,na,na,na
de,306,nov2,3,2,10,7,0.1577,Whitlowgrass,Henbit,no other,65.8,2632,na,na,na,na,na
de,307,nov2,3,2,60,26,0.1941,Whitlowgrass,Henbit,no other,61,2440,na,na,na,na,na
de,308,nov17,3,3,0,0,0.0511,Whitlowgrass,Henbit,Annual bluegrass,0,0,na,na,na,na,na
de,309,nov17,3,3,150,68,0.193,Henbit,Whitlowgrass,Annual bluegrass,60.4,2416,na,na,na,na,na
de,310,nov17,3,3,120,84,0.1931,Whitlowgrass,Henbit,no other,68.6,2744,na,na,na,na,na
de,311,nov17,3,3,10,7,0.0868,Whitlowgrass,Henbit,Common chickweed,35,1400,na,na,na,na,na
de,312,nov17,3,3,30,24,0.2573,Whitlowgrass,Henbit,Common chickweed,72.8,2912,na,na,na,na,na
de,313,nov17,3,3,60,33,0.2082,Whitlowgrass,Henbit,no other,61.4,2456,na,na,na,na,na
de,314,nov17,3,3,90,41,0.1777,Whitlowgrass,Henbit,no other,48.4,1936,na,na,na,na,na
de,315,oct13,3,1,10,13,0.272,Whitlowgrass,Henbit,Annual bluegrass,72.6,2904,na,na,na,na,na
de,316,oct13,3,1,120,64,0.2451,Whitlowgrass,Henbit,Annual bluegrass,77.4,3096,na,na,na,na,na
de,317,oct13,3,1,0,0,0.0321,Whitlowgrass,Henbit,Common chickweed,0,0,na,na,na,na,na
de,318,oct13,3,1,60,29,0.4431,Whitlowgrass,Henbit,Common chickweed,128,5120,na,na,na,na,na
de,319,oct13,3,1,30,13,0.5498,Whitlowgrass,Henbit,Common chickweed,144.6,5784,na,na,na,na,na
de,320,oct13,3,1,90,39,0.5509,Whitlowgrass,Henbit,no other,115.8,4632,na,na,na,na,na
de,401,nov2,4,2,90,58,0.0935,Whitlowgrass,Henbit,Cutleaf evening primrose,33.2,1328,na,na,na,na,na
de,402,nov2,4,2,10,6,0.0916,Whitlowgrass,Mouseear chickweed,Henbit,35.2,1408,na,na,na,na,na
de,403,nov2,4,2,0,0,0.0344,Whitlowgrass,Common chickweed,Henbit,0,0,na,na,na,na,na
de,404,nov2,4,2,150,86,0.2071,Whitlowgrass,Jagged chickweed,Henbit,76.8,3072,na,na,na,na,na
de,405,nov2,4,2,60,35,0.1541,Whitlowgrass,Henbit,Common chickweed,60.8,2432,na,na,na,na,na
de,406,nov2,4,2,30,12,0.1409,Whitlowgrass,Common chickweed,Henbit,61.4,2456,na,na,na,na,na
de,407,nov2,4,2,120,81,0.1894,Whitlowgrass,no other,,54,2160,na,na,na,na,na
de,408,nov17,4,3,30,21,0.1033,Whitlowgrass,Henbit,Annual bluegrass,24,960,na,na,na,na,na
de,409,nov17,4,3,90,80,0.1852,Whitlowgrass,Henbit,Annual bluegrass,68.2,2728,na,na,na,na,na
de,410,nov17,4,3,150,67,0.1013,Whitlowgrass,Henbit,Common chickweed,27,1080,na,na,na,na,na
de,411,nov17,4,3,10,14,0.1268,Whitlowgrass,Common chickweed,Henbit,24,960,na,na,na,na,na
de,412,nov17,4,3,0,0,0.0268,Whitlowgrass,Common chickweed,Henbit,0,0,na,na,na,na,na
de,413,nov17,4,3,120,73,0.2238,Whitlowgrass,Henbit,Common chickweed,73.4,2936,na,na,na,na,na
de,414,nov17,4,3,60,34,0.1201,Whitlowgrass,Henbit,Common chickweed,32,1280,na,na,na,na,na
de,415,oct13,4,1,120,71,0.2724,Whitlowgrass,Common chickweed,Henbit,103.8,4152,na,na,na,na,na
de,416,oct13,4,1,10,10,0.1539,Whitlowgrass,Common chickweed,Henbit,64,2560,na,na,na,na,na
de,417,oct13,4,1,90,45,0.2751,Whitlowgrass,Common chickweed,Henbit,85.2,3408,na,na,na,na,na
de,418,oct13,4,1,0,0,0.0739,Common chickweed,Whitlowgrass,Henbit,0,0,na,na,na,na,na
de,419,oct13,4,1,30,21,0.4327,Whitlowgrass,Common chickweed,Henbit,138,5520,na,na,na,na,na
de,420,oct13,4,1,60,29,0.2303,Whitlowgrass,Common chickweed,Henbit,70.4,2816,na,na,na,na,na
